GeneralRating,NumberOfVotes,NumberOfWhiskies,Distilleries,Links
85.05,16116,1491,Craigellachie,https://www.whiskybase.com/whiskies/distillery/104/craigellachie
88.02,3706,59,Daftmill,https://www.whiskybase.com/whiskies/distillery/83262/daftmill
0.00,,,Daill,https://www.whiskybase.com/whiskies/distillery/86706/daill
85.43,16344,1300,Dailuaine,https://www.whiskybase.com/whiskies/distillery/158/dailuaine
78.34,10,6,Dalaruan Distillery,https://www.whiskybase.com/whiskies/distillery/87344/dalaruan-distillery
0.00,,,Dalintober Distillery,https://www.whiskybase.com/whiskies/distillery/90262/dalintober-distillery
87.93,3029,371,Dallas Dhu,https://www.whiskybase.com/whiskies/distillery/150/dallas-dhu
85.52,17611,1008,Dalmore,https://www.whiskybase.com/whiskies/distillery/81/dalmore
85.10,927,105,Dalmunach,https://www.whiskybase.com/whiskies/distillery/84790/dalmunach
83.71,8078,222,Dalwhinnie,https://www.whiskybase.com/whiskies/distillery/107/dalwhinnie
85.43,19386,650,Deanston,https://www.whiskybase.com/whiskies/distillery/159/deanston
85.85,863,67,Dornoch Distillery,https://www.whiskybase.com/whiskies/distillery/87253/dornoch-distillery
0.00,,,Drumore Distillery,https://www.whiskybase.com/whiskies/distillery/90285/drumore-distillery
84.37,7267,536,Dufftown,https://www.whiskybase.com/whiskies/distillery/102/dufftown
86.16,1119,133,Dumbarton,https://www.whiskybase.com/whiskies/distillery/189/dumbarton
0.00,,1,Dundashill,https://www.whiskybase.com/whiskies/distillery/89372/dundashill
83.00,387,48,Eden Mill,https://www.whiskybase.com/whiskies/distillery/84995/eden-mill
84.96,29351,1793,Edradour,https://www.whiskybase.com/whiskies/distillery/113/edradour
80.78,10,3,Falkirk Distillery Company,https://www.whiskybase.com/whiskies/distillery/89204/falkirk-distillery-company
84.47,9539,786,Fettercairn,https://www.whiskybase.com/whiskies/distillery/152/fettercairn
86.81,418,39,Garnheath,https://www.whiskybase.com/whiskies/distillery/239/garnheath
0.00,,,Gartbreck Distillery,https://www.whiskybase.com/whiskies/distillery/83372/gartbreck-distillery
84.64,3104,335,Girvan,https://www.whiskybase.com/whiskies/distillery/186/girvan
87.76,1821,200,Glen Albyn,https://www.whiskybase.com/whiskies/distillery/127/glen-albyn
86.18,14275,894,Glen Elgin,https://www.whiskybase.com/whiskies/distillery/111/glen-elgin
84.00,399,45,Glen Flagler,https://www.whiskybase.com/whiskies/distillery/175/glen-flagler
85.90,19894,1091,Glen Garioch,https://www.whiskybase.com/whiskies/distillery/108/glen-garioch
87.15,25177,2143,Glen Grant,https://www.whiskybase.com/whiskies/distillery/109/glen-grant
87.02,12993,685,Glen Keith,https://www.whiskybase.com/whiskies/distillery/130/glen-keith
87.30,2685,257,Glen Mhor,https://www.whiskybase.com/whiskies/distillery/126/glen-mhor
85.50,21977,1811,Glen Moray,https://www.whiskybase.com/whiskies/distillery/147/glen-moray
0.00,,,Glen Nevis Distillery,https://www.whiskybase.com/whiskies/distillery/90280/glen-nevis-distillery
85.42,8496,598,Glen Ord,https://www.whiskybase.com/whiskies/distillery/149/glen-ord
85.73,25853,1223,Glen Scotia,https://www.whiskybase.com/whiskies/distillery/83/glen-scotia
84.38,4287,442,Glen Spey,https://www.whiskybase.com/whiskies/distillery/161/glen-spey
85.95,33068,1375,Glenallachie,https://www.whiskybase.com/whiskies/distillery/165/glenallachie
86.29,14091,1019,Glenburgie,https://www.whiskybase.com/whiskies/distillery/128/glenburgie
85.65,9629,576,Glencadam,https://www.whiskybase.com/whiskies/distillery/129/glencadam
88.07,78212,1771,Glendronach,https://www.whiskybase.com/whiskies/distillery/101/glendronach
84.26,5052,368,Glendullan,https://www.whiskybase.com/whiskies/distillery/73/glendullan
87.10,1507,105,Glenesk,https://www.whiskybase.com/whiskies/distillery/155/glenesk
87.73,60799,2737,Glenfarclas,https://www.whiskybase.com/whiskies/distillery/5/glenfarclas
84.67,32216,1522,Glenfiddich,https://www.whiskybase.com/whiskies/distillery/7/glenfiddich
,,1,Glenfoyle,https://www.whiskybase.com/whiskies/distillery/89269/glenfoyle
91.33,8,1,Glenfyne (Glendarroch Glenglip),https://www.whiskybase.com/whiskies/distillery/86698/glenfyne-glendarroch-glenglip
87.03,16005,693,Glenglassaugh,https://www.whiskybase.com/whiskies/distillery/151/glenglassaugh
86.13,29077,1215,Glengoyne,https://www.whiskybase.com/whiskies/distillery/74/glengoyne
85.93,21907,273,Glengyle,https://www.whiskybase.com/whiskies/distillery/180/glengyle
83.66,5705,218,Glenkinchie,https://www.whiskybase.com/whiskies/distillery/60/glenkinchie
86.22,35806,2680,Glenlivet,https://www.whiskybase.com/whiskies/distillery/55/glenlivet
89.88,1781,120,Glenlochy,https://www.whiskybase.com/whiskies/distillery/160/glenlochy
86.26,9978,819,Glenlossie,https://www.whiskybase.com/whiskies/distillery/72/glenlossie
85.01,35342,1093,Glenmorangie,https://www.whiskybase.com/whiskies/distillery/54/glenmorangie
0.00,,,Glenramskill Distillery,https://www.whiskybase.com/whiskies/distillery/90284/glenramskill-distillery
86.34,31278,2204,Glenrothes,https://www.whiskybase.com/whiskies/distillery/76/glenrothes
0.00,,,Glenside Distillery,https://www.whiskybase.com/whiskies/distillery/90264/glenside-distillery
86.01,13412,1176,Glentauchers,https://www.whiskybase.com/whiskies/distillery/162/glentauchers
85.72,10672,857,Glenturret,https://www.whiskybase.com/whiskies/distillery/112/glenturret
89.22,1664,134,Glenugie,https://www.whiskybase.com/whiskies/distillery/131/glenugie
88.99,2659,123,Glenury Royal,https://www.whiskybase.com/whiskies/distillery/167/glenury-royal
85.28,211,11,GlenWyvis Distillery,https://www.whiskybase.com/whiskies/distillery/86063/glenwyvis-distillery
89.00,1,1,Hazelburn Distillery,https://www.whiskybase.com/whiskies/distillery/90277/hazelburn-distillery
0.00,,,Highland Distillery,https://www.whiskybase.com/whiskies/distillery/90265/highland-distillery
87.24,64359,3394,Highland Park,https://www.whiskybase.com/whiskies/distillery/56/highland-park
80.70,212,23,Holyrood Distillery,https://www.whiskybase.com/whiskies/distillery/90497/holyrood-distillery
86.97,8948,681,Imperial,https://www.whiskybase.com/whiskies/distillery/116/imperial
84.29,293,15,InchDairnie,https://www.whiskybase.com/whiskies/distillery/86638/inchdairnie
85.51,10621,779,Inchgower,https://www.whiskybase.com/whiskies/distillery/103/inchgower
86.72,9218,763,Invergordon,https://www.whiskybase.com/whiskies/distillery/182/invergordon
86.57,981,143,Inverleven,https://www.whiskybase.com/whiskies/distillery/143/inverleven
84.18,282,15,Isle of Harris Distillers Ltd.,https://www.whiskybase.com/whiskies/distillery/85272/isle-of-harris-distillers-ltd
84.01,18012,1013,Isle of Jura,https://www.whiskybase.com/whiskies/distillery/114/isle-of-jura
85.97,37400,1470,Kilchoman,https://www.whiskybase.com/whiskies/distillery/166/kilchoman
88.76,76,5,Killyloch,https://www.whiskybase.com/whiskies/distillery/249/killyloch
0.00,,,Kimbland,https://www.whiskybase.com/whiskies/distillery/92771/kimbland
87.01,260,45,Kinclaith,https://www.whiskybase.com/whiskies/distillery/178/kinclaith
83.54,1410,73,Kingsbarns Distillery,https://www.whiskybase.com/whiskies/distillery/85097/kingsbarns-distillery
83.33,2645,57,Kininvie,https://www.whiskybase.com/whiskies/distillery/179/kininvie
0.00,,,Kinloch Distillery,https://www.whiskybase.com/whiskies/distillery/90258/kinloch-distillery
0.00,,,Kintyre Distillery,https://www.whiskybase.com/whiskies/distillery/90266/kintyre-distillery
84.12,4914,426,Knockando,https://www.whiskybase.com/whiskies/distillery/146/knockando
84.72,8833,357,Knockdhu,https://www.whiskybase.com/whiskies/distillery/87/knockdhu
87.68,891,100,Ladyburn,https://www.whiskybase.com/whiskies/distillery/140/ladyburn
87.83,49033,789,Lagavulin,https://www.whiskybase.com/whiskies/distillery/3/lagavulin
82.73,1001,21,Lagg,https://www.whiskybase.com/whiskies/distillery/88930/lagg
87.48,95910,3555,Laphroaig,https://www.whiskybase.com/whiskies/distillery/49/laphroaig
86.07,25324,2508,Linkwood,https://www.whiskybase.com/whiskies/distillery/77/linkwood
87.21,17023,677,Littlemill,https://www.whiskybase.com/whiskies/distillery/92/littlemill
69.59,13,14,Loch Ewe Distillery,https://www.whiskybase.com/whiskies/distillery/558/loch-ewe-distillery
84.25,20028,1607,Loch Lomond,https://www.whiskybase.com/whiskies/distillery/148/loch-lomond
,,1,Lochhead,https://www.whiskybase.com/whiskies/distillery/89373/lochhead
,,6,Lochindaal (Closed),https://www.whiskybase.com/whiskies/distillery/86707/lochindaal-closed
83.90,1053,25,Lochlea,https://www.whiskybase.com/whiskies/distillery/93270/lochlea
0.00,,,Lochruan Distillery,https://www.whiskybase.com/whiskies/distillery/90261/lochruan-distillery
88.49,5139,225,Lochside,https://www.whiskybase.com/whiskies/distillery/132/lochside
0.00,,1,Lochside Distillery,https://www.whiskybase.com/whiskies/distillery/90252/lochside-distillery
0.00,,,Lone Wolf,https://www.whiskybase.com/whiskies/distillery/88770/lone-wolf
87.33,24029,1676,Longmorn,https://www.whiskybase.com/whiskies/distillery/125/longmorn
83.00,1,3,Longrow Distillery,https://www.whiskybase.com/whiskies/distillery/89414/longrow-distillery
80.60,12,1,Lossit,https://www.whiskybase.com/whiskies/distillery/86708/lossit
0.00,,,Lost Loch,https://www.whiskybase.com/whiskies/distillery/94825/lost-loch
88.11,53050,4223,Macallan,https://www.whiskybase.com/whiskies/distillery/58/macallan
85.09,10502,1139,Macduff,https://www.whiskybase.com/whiskies/distillery/154/macduff
,,2,Malt Mill,https://www.whiskybase.com/whiskies/distillery/86709/malt-mill
85.03,7867,614,Mannochmore,https://www.whiskybase.com/whiskies/distillery/133/mannochmore
0.00,,,Meadowburn Distillery,https://www.whiskybase.com/whiskies/distillery/90283/meadowburn-distillery
88.69,2155,121,Millburn,https://www.whiskybase.com/whiskies/distillery/135/millburn
85.75,13322,1194,Miltonduff,https://www.whiskybase.com/whiskies/distillery/134/miltonduff
86.24,34290,2254,Mortlach,https://www.whiskybase.com/whiskies/distillery/75/mortlach
0.00,,,Mossfield Distillery,https://www.whiskybase.com/whiskies/distillery/90254/mossfield-distillery
0.00,,,Mountain Dew Distillery,https://www.whiskybase.com/whiskies/distillery/90251/mountain-dew-distillery
0.00,,,Mulindry,https://www.whiskybase.com/whiskies/distillery/86711/mulindry
84.34,1832,62,Nc'nean Distillery,https://www.whiskybase.com/whiskies/distillery/88493/ncnean-distillery
0.00,,,Newton,https://www.whiskybase.com/whiskies/distillery/86705/newton
84.90,5354,589,North British,https://www.whiskybase.com/whiskies/distillery/183/north-british
87.52,1073,89,North of Scotland,https://www.whiskybase.com/whiskies/distillery/190/north-of-scotland
0.00,,,North Point Distillery,https://www.whiskybase.com/whiskies/distillery/94650/north-point-distillery
87.41,1292,124,North Port,https://www.whiskybase.com/whiskies/distillery/156/north-port
0.00,,,North Uist Distillery Co.,https://www.whiskybase.com/whiskies/distillery/95813/north-uist-distillery-co
85.22,10441,259,Oban,https://www.whiskybase.com/whiskies/distillery/28/oban
88.17,10,,Octomore (Closed),https://www.whiskybase.com/whiskies/distillery/86704/octomore-closed
87.00,1,3,Parkmore,https://www.whiskybase.com/whiskies/distillery/344/parkmore
86.00,2651,156,Pittyvaich,https://www.whiskybase.com/whiskies/distillery/105/pittyvaich
85.75,4,1,Port Charlotte (Closed),https://www.whiskybase.com/whiskies/distillery/85302/port-charlotte-closed
85.48,3606,342,Port Dundas,https://www.whiskybase.com/whiskies/distillery/188/port-dundas
89.28,26445,1492,Port Ellen,https://www.whiskybase.com/whiskies/distillery/91/port-ellen
0.00,,,Port of Leith Distillery,https://www.whiskybase.com/whiskies/distillery/96205/port-of-leith-distillery
85.88,19669,881,Pulteney,https://www.whiskybase.com/whiskies/distillery/123/pulteney
82.24,1972,104,Raasay Distillery,https://www.whiskybase.com/whiskies/distillery/85892/raasay-distillery
0.00,,,Rieclachan Distillery,https://www.whiskybase.com/whiskies/distillery/90257/rieclachan-distillery
86.97,6764,705,Rosebank,https://www.whiskybase.com/whiskies/distillery/90/rosebank
86.02,688,6,Roseisle,https://www.whiskybase.com/whiskies/distillery/83238/roseisle
85.16,6667,782,Royal Brackla,https://www.whiskybase.com/whiskies/distillery/98/royal-brackla
